id,title,upload_date,plays_count,likes_count,reposts_count,comments_count,tags,url
99713437,Dau mua - Trung Quan,5 July 2013,2170820,13345,741,231,"Pop, Daumua , TrungQuan, TrungQuanIdol, Vietnamidol2010",https://soundcloud.com/quancartoon/dau-mua
134956008,Trot Yeu - Trung Quân Idol,15 February 2014,950360,8507,458,46,,https://soundcloud.com/piscesinmar/trot-yeu-trung-qu-n-idol
168727980,Chờ Ai (feat. QQQ),21 September 2014,1660642,16580,1941,169,"Folk, pop, indie, acoustic, cam, qqq, quanquaoquao, cho ai, chờ ai, cho, ai",https://soundcloud.com/orangeakatoanlee/cho-ai-feat-qqq-cam
191089015,Sống như những đóa hoa,14 February 2015,64266,577,67,13,"Blues, Pop, Tiazh Tiz, black eyed tiz, Tạ Quang Thắng",https://soundcloud.com/tiazh/song-nhu-nhung-doa-hoa
219634397,Nhu Loai Meo - Kai Dinh Ta Quang Thang,17 August 2015,594068,4999,481,26,cat,https://soundcloud.com/lusradio/nhu-loai-meo-kai-dinh-ta-quang-thang
153824216,Thôi Chào Iem,11 June 2014,768998,8577,894,70,"Acoustic, folk, guitar, cam, mrdd47, tòn lê, blues, indie, ukulele",https://soundcloud.com/orangeakatoanlee/thoi-chao-iem-cam
194406575,La - Pham Đinh Thai Ngan,6 March 2015,4492273,39770,3333,369,raymond nguyen,https://soundcloud.com/susuuuuu/la-pham-dinh-thai-ngan
513344163,THẰNG ĐIÊN - JUSTATEE X PHƯƠNG LY - OFFICIAL MV,12 October 2018,2677670,27890,716,361,"R&B, Soul",https://soundcloud.com/phong-h-i-nguy-n-299226117/thang-dien-justatee-x-phuong-ly-official-mv
607823655,Anh Nhà Ở Đâu Thế - AMEE X B RAY ( Masew Remix ),18 April 2019,647789,5665,183,19,"Masew, BRay, Amee",https://soundcloud.com/hieu10105/anh-nha-o-dau-the-amee-x-b-ray-masew-remix
584272968,Binz - Thôi Anh Không Chơi Đâu,3 March 2019,4135575,30956,1217,217,"Hip-hop & Rap, TAKC, Binz, Tinle, SpaceSpeakers",https://soundcloud.com/buituananhpro/binz-thoi-anh-khong-choi-dau
657385361,"Ơ Sao Bé Không Lắc - BigDaddy, Emily",28 July 2019,5070322,18320,639,172,"Pop, vpop, vpopviral, vpoptophit, vpoptrending, vpopbillboard, vpopchart, vpophot, tophit, viral, trending, billboard, chart, hot, vpopstar, vpopaward, nhacviet, nhac-viet, vpopnew, vietnam, edm, remix, cover, piano, chill, party, relax, sleep, top50, top10, top100",https://soundcloud.com/vpoptrending/o-sao-be-khong-lac-bigdaddy-emily
658957007,Ai Đưa Em Về - TIA X Lê Thiện Hiếu   Take Me Back Home,31 July 2019,1078329,5826,214,32,,https://soundcloud.com/ph-m-trung-630721258/ai-dua-em-ve-tia-x-le-thien-hieu-take-me-back-home
714714955,HÀNH LANG CŨ (Hạ Nhớ) - Long Nón Lá (Huy Vạc Cover Acoustic),18 November 2019,4154521,31719,1467,475,"hanhlangcu, hanho, longnonla, huyvac, cover, Acoustic",https://soundcloud.com/rabbito-218618136/hanh-lang-cu-ha-nho-long-non-la-huy-vac-cover-acoustic
723957340,"Crush 2 - W/n ft ( Tez, Tien )",7 December 2019,1851933,21663,705,332,,https://soundcloud.com/user-295646386/crush-2-wn-ft-tez-tien
759716398,100 Years Love NamDuc [ MV Video Lyrics ],13 February 2020,3787472,29968,1026,454,,https://soundcloud.com/gostupidrogers/100-years-love-namduc-mv-video-lyrics
748007212,Đen - một triệu like ft. Thành Đồng,23 January 2020,5767019,51669,2664,946,"Hip-hop & Rap, một triệu like, đen, thành đồng, den vau, den, lộn xộn 5",https://soundcloud.com/den1305/den-mot-trieu-like-ft-thanh-dong
572735187,death bed | Feat. beabadoobee,10 February 2019,54318003,840760,26125,33220,"Lofihiphop, lovesongs, sad, rap, scfirst, romantic",https://soundcloud.com/powfu/death-bed-prod-otterpop
413066901,Inna - Nirvana (Mert Hakan & Ilkay Sencan Remix),13 March 2018,974255,17463,1128,694,"Dance & EDM, Ilkay Sencan, Mert Hakan, Inna, Nirvana",https://soundcloud.com/ilkaysencan/inna-nirvana-mert-hakan-ilkay-sencan-remix
320942336,Desiigner - Timmy Turner (AD Remix),4 May 2017,1244234,17492,449,117,"Electronic, House, Moombahton",https://soundcloud.com/pageofkirbas/desiigner-timmy-turner-ad-remix
