id,title,create_date,likes_count,reposts_count,tracks_count,total_playtime,tags,url
730118454,Best Rap Right Now: Drippin',16 March 2019,385518,21474,83,2:45:54,"Hip-hop & Rap, hustle, drippin",https://soundcloud.com/soundcloud-hustle/sets/drippin-best-rap-right-now
606350235,Midnight Lofi,19 September 2018,318177,23678,36,1:32:54,"Lo-fi, Midnight, Room, Lofi, Relax, Chill, Mood, Mellow",https://soundcloud.com/butterxly/sets/midnight-lofi
1334984134,𝙇𝙊-𝙁𝙄,22 October 2021,32,2,260,12:02:03,,https://soundcloud.com/rap-music-mix-songs/sets/lo-fi-6
332469031,lofi ◡̈,23 June 2017,30064,3017,103,3:55:44,"lofi hip hop, Chill",https://soundcloud.com/slutcafe/sets/lofi
301391962,lofi 4 studying,20 February 2017,171084,7457,89,3:51:07,"Hip-hop & Rap, Trip Hop, Ambient, Downtempo, studying, study, relax, lofi, midterms, exams, homework, focus, working, remote work, quarantine",https://soundcloud.com/suricolbert/sets/lofi-4-studying
363471011,| Chill | Lofi | Hip Hop |,29 October 2017,88132,5405,121,6:23:42,"Hip Hop, chill, lofi",https://soundcloud.com/helennpham/sets/lofi-hip-hop
730129140,Hip-Hop Party Starters: Turn Up,16 March 2019,104642,4473,51,1:37:43,"Hip-hop & Rap, hustle",https://soundcloud.com/soundcloud-hustle/sets/turn-up-hip-hop-party-starters
595582668,Study & Chill | Lofi Hiphop,3 September 2018,94984,5929,21,41:20,"Lofi, study, Chill, lofi",https://soundcloud.com/dabootlegboy/sets/study-chill-lofi-hiphop
,Lo-Fi,5 May 2018,7930,730,418,24:44:29,"Lo-Fi, LoFi Hip Hop, LoFi, Downtempo, Relax beats, Relax, study, beats to study to, lofi mix, lofi playlist, Chill, chill music, chill hop, Beats, Chill beats, lofi chill, lofi study, lofi relax, lofi jazz, Jazz, jazz hop, chilledcow, Chillhop, Hip Hop, 24/7, kudasai, knxwledge, rook1e, beattape, Ambient",https://soundcloud.com/epigenes1s/sets/lo-fi
740178957,Trap for Deep Focus: Chill Trap,29 March 2019,82059,3856,41,1:34:18,"Trap, hustle, chilltrap",https://soundcloud.com/soundcloud-hustle/sets/chill-trap-for-deep-focus
356635769,lofi,1 October 2017,3262,302,484,35:21:42,"lofi, Ambient, Downtempo",https://soundcloud.com/oddkind/sets/lofi
941209684,Juice WRLD's Definitive Tracks,10 December 2019,95606,6838,24,51:41,,https://soundcloud.com/soundcloud-hustle/sets/juice-wrld-definitive-tracks
300494469,lofi hip hop playlist,22 February 2017,59540,6863,90,4:39:49,lofi hip hop,https://soundcloud.com/chillhopdotcom/sets/lofihiphop
728644707,Tomorrow's Rap Hits: The Lookout,14 March 2019,41982,1763,118,3:21:26,"Hip-hop & Rap, hustle, thelookout",https://soundcloud.com/soundcloud-hustle/sets/the-lookout-tomorrows-rap-hits
1334983639,𝙇𝙊𝙁𝙄 𝘽𝙀𝘼𝙏𝙎,22 October 2021,46,1,260,12:02:03,,https://soundcloud.com/rap-music-mix-songs/sets/lofi-beats-6
1337355463,lofi,27 October 2021,0,0,122,8:20:08,,https://soundcloud.com/sykrys/sets/lofi
730276650,Late-Nite Hip-Hop Party: Pourin',16 March 2019,56535,2372,33,1:09:16,"Hip-hop & Rap, hustle, pourin",https://soundcloud.com/soundcloud-hustle/sets/late-nite-hip-hop-party-pourin
1229297017,Lofi,30 April 2021,10,0,405,19:12:06,Triphop,https://soundcloud.com/somerandompeepster/sets/lofi
,lofi,16 July 2016,537,39,466,32:47:25,chill,https://soundcloud.com/ryanconover/sets/lofi
197159813,lofi,17 February 2016,765,77,388,24:14:19,"lofi, lowtempo, downtempo, vybes, wave, subjective, mytaste, shuffle",https://soundcloud.com/yungshekel/sets/lofi
1132958047,Oct. Lo-fi,21 October 2020,31108,880,28,1:40:51,"chill, sleep, relax, study",https://soundcloud.com/hanriverlove/sets/r-lofi-beat
414488927,Lofi,6 January 2018,369,32,472,25:53:25,"R&B, Soul",https://soundcloud.com/cchywiw9agu2/sets/lofi
303554250,lofi,28 February 2017,601,39,476,35:33:34,"Electronic, Trip Hop, Ambient, Downtempo",https://soundcloud.com/lucas-tekin/sets/lofi
,lofi,13 June 2019,61,3,494,28:06:44,,https://soundcloud.com/devin-whitmer/sets/lofi
,Lofi,25 September 2021,2,0,385,22:20:26,,https://soundcloud.com/user-357202502/sets/lofi
580907295,Lofi,24 January 2019,151,14,444,24:35:24,,https://soundcloud.com/uufnivziqotz/sets/lofi
345199797,Late Night Lofi,14 August 2017,39565,2199,41,1:42:33,"Chill, Chillout, Relax, sleep, late, Night, Lo-Fi, study, Deep Thoughts",https://soundcloud.com/ilyanaazman/sets/latenightlofi
1326316708,lofi,5 October 2021,0,0,315,19:43:28,,https://soundcloud.com/dan-remi-hansen/sets/lofi
1266811480,Lofi,3 June 2021,12,0,499,23:00:27,LoFi,https://soundcloud.com/user-343671144/sets/lofi-1
833248880,lofi,25 July 2019,11,0,455,27:35:01,"Pop, Easy Listening",https://soundcloud.com/nguy-n-thanh-b-nh-301298385/sets/lofi
1310826829,Lofi,4 September 2021,1,0,378,14:49:58,,https://soundcloud.com/user-552829643/sets/lofi
689395140,Lofi,20 January 2019,87,8,492,28:27:05,,https://soundcloud.com/qu-c-long-607709668/sets/lofi
736100916,Lofi,24 March 2019,36,2,482,37:14:06,,https://soundcloud.com/qlaw328raven/sets/lofi
,lofi,7 December 2017,101,6,473,22:34:28,"Trip Hop, Ambient, Downtempo, lofi, chill, aesthetic, lofihiphop",https://soundcloud.com/perccocet/sets/lofi
610333974,Morning Lofi,27 September 2018,30836,1996,17,46:38,"Lo-fi, Morning, Coffee, Lofi, Relax, Chill, Mood, Mellow",https://soundcloud.com/butterxly/sets/morning-lofi
1337486980,Lofi,27 October 2021,0,0,1,2:28,,https://soundcloud.com/he_nake/sets/lofi
387974381,lofi,11 December 2017,5,0,427,50:00:16,,https://soundcloud.com/yohnpark/sets/4jsuxcrzva4d
482488192,lofi,26 March 2018,22,4,495,23:25:49,lofi,https://soundcloud.com/ha-ha-355581543/sets/lofi
751938525,lofi,13 April 2019,84,6,483,25:31:42,"Electronic, Trip Hop, Ambient, Downtempo",https://soundcloud.com/user-628851488/sets/gimme-ur-ass
960188392,Lofi,6 January 2020,4,0,482,24:58:30,,https://soundcloud.com/mordecario/sets/lofi
780096279,lofi,16 May 2019,5,0,484,20:41:37,lofi hiphop,https://soundcloud.com/user-91696648/sets/2fcjd0qla4aa
234514806,lofi,19 June 2016,62,6,443,22:58:09,"lofi, beats",https://soundcloud.com/saintnorth/sets/lofi
,LOFI,9 January 2020,4,0,489,25:43:05,,https://soundcloud.com/xx_incognito_monster_xx-gray/sets/lofi
,Lofi,13 August 2018,24,2,494,31:21:50,,https://soundcloud.com/eric-howyn/sets/lofi
302460311,For studying / mainly lofi-hiphop & ambient + alpha,24 February 2017,27325,2570,41,1:55:42,"ambient, lofi-hiphop, study, ambient, lofi, chill, vibes, Hip Hop, rap",https://soundcloud.com/mavocado28/sets/for-studying-mainly-lofi
,Lofi,27 November 2020,1,0,490,60:30:28,,https://soundcloud.com/ezgatuslao/sets/lofi
,lofi,13 July 2017,53,6,459,25:18:17,,https://soundcloud.com/ee-ph/sets/lofi
,Lofi,16 October 2017,52,6,411,20:11:15,"Lo-Fi, lofi, Hip Hop, LoFi Hip Hop, Relax, Beat, Study, lofi chilll, lofi beats, chill beats, study music, Jazz",https://soundcloud.com/alvin-loskoeld/sets/howls-moving
