user_id,full_name,username,track_id,followers_count
207963099,null,Queen,252514979,165448
207963099,null,Queen,252516215,165448
207963099,null,Queen,252514426,165448
207963099,null,Queen,252515267,165448
207963099,null,Queen,252514609,165448
207963099,null,Queen,252515155,165448
207963099,null,Queen,252515351,165448
207963099,null,Queen,252514890,165448
207963099,null,Queen,252514563,165448
207963099,null,Queen,252515413,165448
2618801,null,Sympazz,28924789,2028
116284631,null,Rook1e,284025967,48537
15201404,Tom MacFly,Tom MacFly,95413524,951
17364233,null,Def Jam Recordings,90977083,8503785
2122616,Reach  Records,ReachRecords,156733823,29460
85521077,Too ICY,Thtboyjayjay,192644436,1047
5028780,T Wayne,T-wayne,188740741,79846
30695751,ASAP Ferg,A$AP Ferg,91990553,1201638
24426576,Kevon DeAndre,YungFlacco_,173415056,2629
1548017,50 Cent,50 Cent,163708138,1801006
5958931,MEEK MILL,MEEK MILL,45331786,544521
2740613,Gage perkins,Gageperkins,10168665,279
1548017,50 Cent,50 Cent,177351859,1801006
10525399,LETS GO BABY,GO MIKE GIP,164886821,2596
18740981,Teo Varsimashvili,Teo Varsimashvili,58571992,7251
1254388,100x100 RAW,100x100RAW,147240727,341
132790246,null,Juice WRLD,328259811,2417130
132790246,null,Juice WRLD,583436769,2417095
132790246,null,Juice WRLD,574858791,2417111
132790246,null,Juice WRLD,445445400,2417126
132790246,null,Juice WRLD,445592583,2417126
132790246,null,Juice WRLD,690770410,2417107
132790246,null,Juice WRLD,586696008,2417095
132790246,null,Juice WRLD,524046369,2417095
132790246,null,Juice WRLD,445592577,2417126
132790246,null,Juice WRLD,805856467,2417095
10332955,A Boogie,A BOOGIE WIT DA HOODIE,547295343,1272721
132790246,null,Juice WRLD,460710552,2417095
132790246,null,Juice WRLD,328259925,2417121
132790246,null,Juice WRLD,467114238,2417095
67377000,LIL QUICKSCOPE,SKI MASK THE SLUMP GOD,537258747,1341786
207963099,null,Queen,252514440,165448
300932089,Lil Baby,Lil Baby,499015278,1073772
11877500,King Slime,Young Thug,486609432,1075560
333141684,null,BIGBANKCAMPAIGN,393227646,19269
333141684,null,BIGBANKCAMPAIGN,393227538,19269
333141684,null,BIGBANKCAMPAIGN,393227640,19269
333141684,null,BIGBANKCAMPAIGN,393227652,19269
45177625,null,PnB Rock,447213300,614772
45177625,null,PnB Rock,474163374,614772
45177625,null,PnB Rock,474163347,614772
333141684,null,BIGBANKCAMPAIGN,393227550,19269
10494998,null,Lil Uzi Vert,501298839,2703816
294668301,Saniyah C,Saniyah,330626203,14
45177625,null,PnB Rock,356973314,614772
45177625,null,PnB Rock,302396350,614772
210558840,null,Lil Mosey,366397022,431215
547647,Childish Gambino,Childish Gambino,255843049,1226492
196380,Flying Lotus,Flyinglotus,809088694,5826983
449909790,null,22Gz,535597332,79286
550485924,Rockit,Rockit,1042581223,44
24807743,null,NAV,309149740,633603
547647,Childish Gambino,Childish Gambino,255843064,1226492
203415503,null,MF Doom,254609734,68220
547647,Childish Gambino,Childish Gambino,255843005,1226492
24807743,null,NAV,444040083,633603
23226090,Mac Miller,Mac Miller,256873772,690158
207964518,null,The Game,286998245,64195
663540498,null,leakboss,647031120,10
24807743,null,NAV,444040098,633603
207964518,null,The Game,713528293,64196
329270605,null,Lil Debungee Mook A.k.A devante' a.k.a slim,341902974,7
895005313,B Lovee,B Lovee,1144573375,5903
153238957,null,SahBabii,1142442913,123339
161915158,BK BK,BKTHERULA,1137330577,51307
812353837,null,BabySantana,1150380508,86428
218843659,null,Babyface Ray,1145069389,25089
183618003,COMETHAZINE,COMETHAZINE,1145139421,409921
31827148,MAXO KREAM,MAXO KREAM,1141862752,174236
191056682,2KBABY,2KBABY,1122660547,95525
295329678,null,Yeat,1147367758,54147
2406814,Yung Shyne 2900,UnoTheActivist,1132696078,190724
